,avg,max,min
202001,27.063782467966973,28.180000000000007,26.17500000000001
202002,26.776860299951807,27.79400000000004,25.920000000000016
202003,27.069987308501936,27.779999999999973,26.51600000000002
202004,27.141888042248297,28.152000000000044,26.42100000000005
202005,27.177779620593583,28.071000000000023,25.617999999999995
202006,27.483577693952043,28.69500000000005,26.519000000000005
202007,27.96829432593921,29.59200000000004,26.910000000000025
202008,28.78540891446937,29.82000000000005,27.338000000000022
202009,29.56645055953726,31.113999999999976,28.57000000000005
202010,29.37387454521121,30.331000000000017,28.471000000000004
202011,28.783082761222147,30.194000000000017,27.730999999999995
202012,27.977350446372498,28.858000000000004,26.96700000000004
202101,27.0877813363187,28.065,25.857000000000028
202102,26.539848359109783,27.499000000000024,25.94300000000004
202103,26.39363311471021,27.185,25.76799999999997
202104,26.513269111200717,27.360000000000014,25.466000000000008
202105,27.161306123475413,28.100000000000023,26.235000000000014
202106,27.20107363259143,28.262999999999977,26.206000000000017
202107,27.59127915211548,28.53800000000001,26.483000000000004
202108,28.321461323177004,29.504999999999995,27.14500000000004
202109,29.036547654972992,30.44,27.956000000000017
202110,29.147198123653936,30.459000000000003,27.88300000000004
202111,28.190291047403605,28.95500000000004,27.58200000000005
202112,27.73969411421132,28.887,26.86500000000001
202201,26.93353028072181,27.89100000000002,25.92700000000002
202202,26.673278035242788,27.432000000000016,26.185
202203,26.698562210243267,27.754999999999995,25.994000000000028
202204,26.701396655350266,28.011000000000024,25.87100000000004
202205,27.112238583127574,28.08500000000004,26.16300000000001
202206,27.47698460958128,28.38300000000004,26.53200000000004
202207,27.441227412662272,29.022000000000048,26.27000000000004
202208,28.51603351139562,30.331000000000017,26.849000000000046
202209,29.38842229347415,30.51600000000002,28.42500000000001
202210,29.03867856317157,30.00800000000004,27.982000000000028
202211,28.446578454454425,29.74200000000002,27.529
202212,27.447938659787557,28.670000000000016,26.081000000000017
