Site ,Year,Date,Percent_bleached,DHW,Notes
Playa Funchi,2016,12/7/2016,25.38,,
No Dive Reserve,2016,12/16/2016,23.22,,
Karpata,2016,12/7/2016,19.69,,
Oil Slick Leap,2016,12/7/2016,18.18,,
Reef Sientifiko,2016,12/6/2016,35.28,,
Kas di Regatta,2016,12/8/2016,34.82,,
Invisibles,2016,12/7/2016,16.43,,
Vista Blue,2016,12/7/2016,16.37,,
Mi Dushi,2016,12/10/2016,21.43,,
Ebo's Special,2016,12/10/2016,15.96,,
Playa Funchi,2017,11/6/2017,29.45,,
No Dive Reserve,2017,11/6/2017,49.43,,
Karpata,2017,11/6/2017,60.19,,
Oil Slick Leap,2017,ND,40.54,,
Reef Sientifiko,2017,11/1/2017,62.06,,
Kas di Regatta,2017,11/1/2017,41.8,,
Invisibles,2017,11/7/2017,43.56,,
Vista Blue,2017,11/7/2017,55.61,,
Mi Dushi,2017,11/24/2017,55.17,,
Ebo's Special,2017,11/24/2017,33.22,,
Playa Funchi,2018,12/7/2018,3.92,,
No Dive Reserve,2018,12/5/2018,6.99,,
Karpata,2018,12/5/2018,21.4,,
Oil Slick Leap,2018,12/7/2018,18.55,,
Reef Sientifiko,2018,12/10/2018,32.43,,
Kas di Regatta,2018,12/10/2018,30.83,,
Invisibles,2018,12/11/2018,20.78,,
Vista Blue,2018,12/11/2018,21.64,,
Mi Dushi,2018,12/14/2018,13.74,,
Ebo's Special,2018,12/14/2018,3.37,,
Playa Funchi,2019,ND,14.24,,
No Dive Reserve,2019,ND,2.69,,
Karpata,2019,ND,44.16,,
Oil Slick Leap,2019,ND,4.97,,
Reef Sientifiko,2019,ND,7.98,,
Kas di Regatta,2019,ND,17.55,,
Invisibles,2019,ND,55.88,,
Vista Blue,2019,ND,4.41,,
Mi Dushi,2019,ND,7.2,,
Ebo's Special,2019,ND,33.72,,
Playa Funchi,2020,11/25/2020,50,,
No Dive Reserve,2020,11/25/2020,62.5,,
Karpata,2020,11/25/2020,53.6,,
Oil Slick Leap,2020,11/23/2020,89.3,,
Reef Sientifiko,2020,11/23/2020,35.7,,
Kas di Regatta,2020,11/23/2020,57.8,,
Invisibles,2020,11/24/2020,85.2,,
Vista Blue,2020,11/24/2020,88.4,,
Mi Dushi,2020,11/24/2020,34.7,,
Ebo's Special,2020,11/24/2020,33.9,,
Kas di Regatta,2022,11/24/2022,54.2,,
Reef Sientifiko,2022,11/24/2022,54.21,,
Oil Slick Leap,2022,11/25/2022,59.88,,
Karpata,2022,11/25/2022,49.4,,
Invisibles,2022,11/28/2022,47.71,,
Vista Blue,2022,11/28/2022,57.42,,
Ebo's Special,2022,11/30/2022,44.93,,
Mi Dushi,2022,11/30/2022,52.59,,
No Dive Reserve,2022,12/2/2022,47.51,,
Playa Funchi,2022,12/2/2022,60.1,,
Kas di Regatta,2023,11/24/2023,ND,,
Reef Sientifiko,2023,11/8/2023,ND,,
Oil Slick Leap,2023,11/14/2023,ND,,
Karpata,2023,11/8/2023,ND,,
Invisibles,2023,11/8/2023,ND,,
Vista Blue,2023,11/7/2023,ND,,
Ebo's Special,2023,11/15/2023,ND,,
Mi Dushi,2023,11/15/2023,ND,,
No Dive Reserve,2023,11/9/2023,ND,,
Playa Funchi,2023,11/17/2023,ND,,
