nan,nan,-0.530178,-0.461178,-0.415178,-0.367178,-0.314178,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,-0.513178,-0.443178,nan,nan,-0.290178,-0.230178,-0.184178,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.477178,-0.418178,nan,nan,nan,nan,-0.150178,-0.096178,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.369178,-0.322178,nan,nan,nan,nan,nan,-0.010178,0.033822,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.270178,-0.218178,nan,nan,nan,nan,nan,nan,0.108822,0.136822,0.140822,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.186178,-0.127178,nan,nan,nan,nan,nan,nan,nan,0.178822,0.176822,0.163822,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-0.123178,-0.056178,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.187822,0.158822,0.143822,0.151822,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,-0.018178,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.146822,0.155822,0.171822,0.204822,nan,nan,nan,nan,nan,nan,nan
nan,-0.007178,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.156822,0.184822,0.218822,0.263822,0.318822,0.376822,0.411822,0.445822,0.464822,nan
nan,-0.011178,0.059822,0.122822,0.182822,0.242822,0.288822,0.318822,0.326822,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.348822,0.383822,0.419822,0.443822,0.454822
nan,nan,nan,nan,nan,nan,nan,nan,0.331822,0.315822,0.267822,0.196822,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.414822,0.422822
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.249822,0.185822,0.131822,nan,nan,nan,nan,nan,nan,nan,nan,0.341822,0.366822,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.097822,nan,nan,nan,nan,nan,nan,nan,nan,0.293822,0.323822,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.073822,0.053822,nan,nan,nan,nan,nan,nan,nan,0.251822,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.104822,0.084822,0.052822,0.039822,nan,nan,nan,nan,nan,nan,nan,0.200822,0.227822,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,0.078822,0.073822,nan,0.036822,0.021822,0.006822,nan,nan,nan,nan,nan,nan,nan,0.169822,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,0.041822,0.038822,0.035822,0.011822,0.004822,-0.017178,nan,nan,nan,nan,nan,nan,nan,0.092822,0.115822
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.011178,-0.011178,nan,-0.038178,nan,nan,nan,nan,nan,nan,nan,0.025822,0.057822
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.065178,-0.073178,nan,nan,nan,nan,nan,nan,nan,-0.035178,0.002822
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.104178,-0.110178,nan,nan,nan,nan,nan,nan,nan,nan,-0.094178,-0.050178
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.163178,-0.171178,nan,nan,nan,nan,nan,nan,nan,-0.190178,-0.147178,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.224178,-0.220178,nan,nan,nan,-0.269178,-0.277178,-0.260178,-0.227178,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.263178,-0.271178,nan,nan,nan,nan,-0.299178,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.300178,nan,nan,nan,nan,-0.286178,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.334178,nan,nan,nan,nan,-0.250178,-0.227178,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.346178,nan,nan,nan,nan,-0.219178,-0.185178,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.332178,-0.294178,nan,nan,nan,nan,-0.123178,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.278178,-0.233178,nan,nan,-0.118178,-0.073178,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.207178,-0.163178,-0.116178,-0.067178,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.119178,-0.069178,nan,nan,nan,nan,nan
